ALT,Score
Ahrweiler,33.94
Aichach-Friedberg,60.84
Alb-Donau-Kreis,63.26
Altenburger Land,54.82
Altenkirchen (Westerwald),25.18
Altmarkkreis Salzwedel,37.88
Altötting,59.64
Alzey-Worms,20.88
Amberg,41.49
Amberg-Sulzbach,33.9
Ammerland,50.54
Anhalt-Bitterfeld,43.34
Ansbach,72.66
Ansbach (Kreisfreie Stadt),75.51
Aschaffenburg,20.83
Aschaffenburg (Kreisfreie Stadt),30.76
Augsburg,62.78
Augsburg (Kreisfreie Stadt),75.51
Aurich,52.51
Bad Dürkheim,22.17
Bad Kissingen,09.07
Bad Kreuznach,29.84
Bad Tölz-Wolfratshausen,80.01
Baden-Baden,58.03
Bamberg,73.15
Bamberg (Kreisfreie Stadt),91.58
Barnim,29.58
Bautzen,64.09
Bayreuth,69.83
Bayreuth (Kreisfreie Stadt),86.92
Berchtesgadener Land,72.43
Bergstraße,39.32
Berlin,88.44
Bernkastel-Wittlich,23.31
Biberach,55.36
Bielefeld,52.16
Birkenfeld,19.54
Böblingen,72.86
Bochum,62.83
Bodensee,
Bodenseekreis,78.05
Bonn,54.69
Börde,35.32
Borken,38.31
Bottrop,48.91
Brandenburg an der Havel,61.64
Braunschweig,59.82
Breisgau-Hochschwarzwald,46.32
Bremen,80.67
Bremerhaven,60.52
Burgenlandkreis,37.37
Calw,66.13
Celle,71.25
Cham,36.1
Chemnitz,56
Cloppenburg,30.25
Coburg,71.31
Coburg (Kreisfreie Stadt),79.01
Cochem-Zell,22.37
Coesfeld,34.36
Cottbus,38.47
Cuxhaven,67.15
Dachau,56.36
Dahme-Spreewald,48.6
Darmstadt,44.91
Darmstadt-Dieburg,58.21
Deggendorf,64.9
Delmenhorst,60.71
Dessau-Roßlau,40.76
Diepholz,58.82
Dillingen an der Donau,52.29
Dingolfing-Landau,55.75
Dithmarschen,77.24
Donau-Ries,57.04
Donnersbergkreis,12.8
Dortmund,65
Dresden,76.87
Duisburg,13.82
Düren,19.64
Düsseldorf,51.19
Ebersberg,68.56
Eichsfeld,51.94
Eichstätt,63.93
Eifelkreis Bitburg-Prüm,29.7
Eisenach,52.62
Elbe-Elster,56.15
Emden,59.99
Emmendingen,43.9
Emsland,35.57
Ennepe-Ruhr-Kreis,58.75
Enzkreis,79.22
Erding,57.54
Erfurt,49.46
Erlangen,100
Erlangen-Höchstadt,88.66
Erzgebirgskreis,54.2
Essen,20.71
Esslingen,71.3
Euskirchen,32.07
Fürth (Kreisfreie Stadt),65.99
Flensburg,82.13
Forchheim,80.27
Frankenthal (Pfalz),25.27
